"filename", "language", "JavaScript", "Markdown", "HTML", "JSON", "JSON with Comments", "comment", "blank", "total"
"d:\学习\大三上\java\ydhlw\ydhlw\.eslintrc.js", "JavaScript", -17, 0, 0, 0, 0, 0, -1, -18
"d:\学习\大三上\java\ydhlw\ydhlw\README.md", "Markdown", 0, -19, 0, 0, 0, 0, -6, -25
"d:\学习\大三上\java\ydhlw\ydhlw\babel.config.js", "JavaScript", -5, 0, 0, 0, 0, 0, -1, -6
"d:\学习\大三上\java\ydhlw\ydhlw\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, -19, 0, -1, -20
"d:\学习\大三上\java\ydhlw\ydhlw\package-lock.json", "JSON", 0, 0, 0, -11369, 0, 0, -1, -11370
"d:\学习\大三上\java\ydhlw\ydhlw\package.json", "JSON", 0, 0, 0, -29, 0, 0, -1, -30
"d:\学习\大三上\java\ydhlw\ydhlw\public\index.html", "HTML", 0, 0, -16, 0, 0, -1, -1, -18
"d:\学习\大三上\java\ydhlw\ydhlw\vue.config.js", "JavaScript", -14, 0, 0, 0, 0, -13, -1, -28
"Total", "-", -36, -19, -16, -11398, -19, -14, -13, -11515
